Nr.;Schwierigkeitsgrad;Frage;Antwortmöglichkeit A;Antwortmöglichkeit B;Antwortmöglichkeit C;Richtige Antwort
1;Einfach;Welcher Dinosaurier hatte einen langen Hals und frass Pflanzen?;Tyrannosaurus Rex;Brachiosaurus;Velociraptor;Brachiosaurus
2;Einfach;Welcher Dinosaurier war bekannt für seine drei Hörner auf dem Kopf?;Stegosaurus;Triceratops;Allosaurus;Triceratops
3;Mittel;Welcher Dinosaurier war der grösste Fleischfresser?;Spinosaurus;Velociraptor;Tyrannosaurus Rex;Spinosaurus
4;Mittel;Welcher Dinosaurier hatte eine Knochenkeule am Schwanz?;Ankylosaurus;Stegosaurus;Diplodocus;Ankylosaurus
5;Einfach;Welcher Dinosaurier hatte Platten auf dem Rücken?;Triceratops;Stegosaurus;Brachiosaurus;Stegosaurus
6;Mittel;Welcher Dinosaurier war der schnellste Läufer?;Velociraptor;Brachiosaurus;Triceratops;Velociraptor
7;Einfach;Welcher Dinosaurier hatte Flügel und konnte fliegen?;Pteranodon;Stegosaurus;Tyrannosaurus Rex;Pteranodon
8;Mittel;Welcher Dinosaurier lebte im Wasser?;Spinosaurus;Plesiosaurus;Velociraptor;Plesiosaurus
9;Mittel;Welcher Dinosaurier war bekannt für seine langen Krallen?;Velociraptor;Brachiosaurus;Therizinosaurus;Therizinosaurus
10;Einfach;In welchem Zeitalter lebten die meisten Dinosaurier?;Trias;Jura;Kreide;Jura
11;Mittel;Wie lange lebten Dinosaurier auf der Erde?;160 Millionen Jahre;64 Millionen Jahre;100 Millionen Jahre;160 Millionen Jahre
12;Einfach;"Was bedeutet der Name ""Velociraptor""?";Schneller Dieb;Grosser Jäger;Starker Krieger;Schneller Dieb
13;Mittel;Welcher Dinosaurier war eine Mischung aus Papagei und Stachelschwein?;Pegomastax;Velociraptor;Triceratops;Pegomastax
14;Mittel;Wie stark war der Biss eines Tyrannosaurus Rex im Vergleich zu einem Löwen?;Doppelt so stark;Gleich stark;Halb so stark;Doppelt so stark
15;Einfach;Auf welchen Kontinenten lebten Dinosaurier?;Nur in Afrika;Auf allen Kontinenten;Nur in Nordamerika;Auf allen Kontinenten
16;Mittel;Wie viel Nahrung mussten die grössten Pflanzenfresser täglich zu sich nehmen?;Eine Tonne;500 Kilogramm;Zwei Tonnen;Eine Tonne
17;Mittel;Welche Art von Dinosauriern hatten scharfe, hakenförmige Krallen an ihren Zehen?;Theropoden;Sauropoden;Ornithopoden;Theropoden
18;Einfach;Wofür nutzten die meisten Dinosaurier ihre langen Schwänze?;Zum Schwimmen;Zum Balancieren beim Laufen;Zum Kämpfen;Zum Balancieren beim Laufen
19;Mittel;Was bedeutet der Name des frühesten benannten Dinosauriers, Eoraptor?;Morgendämmerungsdieb;Nachtjäger;Sonnenkrieger;Morgendämmerungsdieb
20;Sehr einfach;Welcher Dinosaurier hatte einen langen Hals?;Tyrannosaurus Rex;Brachiosaurus;Velociraptor;Brachiosaurus
21;Sehr einfach;Welcher Dinosaurier hatte drei Hörner?;Stegosaurus;Triceratops;Allosaurus;Triceratops
22;Sehr einfach;Welcher Dinosaurier war sehr gross und frass Fleisch?;Spinosaurus;Velociraptor;Tyrannosaurus Rex;Tyrannosaurus Rex
23;Sehr einfach;Welcher Dinosaurier konnte fliegen?;Pteranodon;Stegosaurus;Tyrannosaurus Rex;Pteranodon
24;Sehr einfach;Welcher Dinosaurier lebte im Wasser?;Spinosaurus;Plesiosaurus;Velociraptor;Plesiosaurus
25;Sehr einfach;Welcher Dinosaurier hatte Platten auf dem Rücken?;Triceratops;Stegosaurus;Brachiosaurus;Stegosaurus
26;Sehr einfach;Welcher Dinosaurier war sehr schnell?;Velociraptor;Brachiosaurus;Triceratops;Velociraptor
27;Sehr einfach;Welcher Dinosaurier hatte einen grossen Knochenkragen?;Triceratops;Stegosaurus;Ankylosaurus;Triceratops
28;Sehr einfach;Welcher Dinosaurier hatte lange Krallen?;Velociraptor;Brachiosaurus;Therizinosaurus;Therizinosaurus
29;Sehr einfach;Welcher Dinosaurier hatte Flügel und konnte fliegen?;Pteranodon;Stegosaurus;Tyrannosaurus Rex;Pteranodon
